PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
201166,Aaron Brooks,1610612741,CHI,31.,6-0,72,161,Oregon,USA,2007,1,26,42,298,72,99,1.7,0.024,0.089,0.226,0.492,0.236
203932,Aaron Gordon,1610612753,ORL,20.,6-9,81,220,Arizona,USA,2014,1,4,51,395,310,73,-1.7,0.095,0.21,0.164,0.539,0.102
1626151,Aaron Harrison,1610612766,CHA,21.,6-6,78,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,13,7,8,0,3.2,0.057,0.111,0.122,0.277,0.
203940,Adreian Payne,1610612750,MIN,24.,6-10,82,237,Michigan State,USA,2014,1,15,33,88,67,16,-6.7,0.041,0.201,0.167,0.477,0.081
201143,Al Horford,1610612737,ATL,29.,6-10,82,245,Florida,Dominican Republic,2007,1,3,55,839,378,170,3.4,0.069,0.169,0.211,0.564,0.164
2744,Al Jefferson,1610612766,CHA,31.,6-10,82,289,None,USA,2004,1,15,19,238,116,30,0.1,0.051,0.215,0.244,0.495,0.112
202329,Al-Farouq Aminu,1610612757,POR,25.,6-9,81,215,Wake Forest,USA,2010,1,8,54,561,344,86,2.3,0.045,0.189,0.174,0.517,0.081
202692,Alec Burks,1610612762,UTA,24.,6-6,78,214,Colorado,USA,2011,1,12,28,401,100,59,-3.4,0.024,0.131,0.256,0.518,0.138
203458,Alex Len,1610612756,PHX,22.,7-1,85,260,Maryland,Ukraine,2013,1,5,51,353,317,47,-7.,0.107,0.243,0.183,0.51,0.077
201582,Alexis Ajinca,1610612740,NOP,27.,7-2,86,248,None,France,2008,1,20,41,187,169,17,-0.3,0.097,0.278,0.177,0.527,0.052
203459,Allen Crabbe,1610612757,POR,23.,6-6,78,210,California,USA,2013,2,31,53,594,140,63,-1.2,0.013,0.098,0.176,0.576,0.072
202087,Alonzo Gee,1610612740,NOP,28.,6-6,78,225,Alabama,USA,Undrafted,Undrafted,Undrafted,53,213,163,50,-5.,0.036,0.12,0.088,0.562,0.063
2405,Amar'e Stoudemire,1610612748,MIA,33.,6-10,82,245,None,USA,2002,1,9,25,135,113,17,-4.5,0.105,0.255,0.187,0.561,0.08
101161,Amir Johnson,1610612738,BOS,28.,6-9,81,240,None,USA,2005,2,56,52,391,328,92,5.7,0.102,0.188,0.138,0.599,0.109
2760,Anderson Varejao,1610612739,CLE,33.,6-11,83,273,None,Brazil,2004,2,30,31,80,91,20,4.2,0.082,0.238,0.143,0.469,0.094
203083,Andre Drummond,1610612765,DET,22.,6-11,83,279,Connecticut,USA,2012,1,9,54,917,807,45,2.4,0.152,0.338,0.245,0.496,0.042
2738,Andre Iguodala,1610612744,GSW,32.,6-6,78,215,Arizona,USA,2004,1,9,51,384,218,179,16.9,0.038,0.127,0.12,0.588,0.168
1889,Andre Miller,1610612750,MIN,39.,6-3,75,200,Utah,USA,1999,1,8,26,88,24,58,-0.8,0.03,0.08,0.154,0.663,0.307
203460,Andre Roberson,1610612760,OKC,24.,6-7,79,210,Colorado,USA,2013,1,26,45,221,149,36,12.5,0.061,0.103,0.102,0.553,0.048
200745,Andrea Bargnani,1610612751,BKN,30.,7-0,84,245,None,Italy,2006,1,1,46,304,97,18,-15.7,0.047,0.135,0.234,0.5,0.051
101106,Andrew Bogut,1610612744,GSW,31.,7-0,84,260,Utah,Australia,2005,1,1,45,245,338,95,16.,0.097,0.266,0.118,0.603,0.132
203094,Andrew Nicholson,1610612753,ORL,26.,6-9,81,250,St. Bonaventure,Canada,2012,1,19,36,220,130,12,-0.6,0.048,0.209,0.194,0.529,0.036
203952,Andrew Wiggins,1610612750,MIN,20.,6-8,80,199,Kansas,Canada,2014,1,1,53,1100,195,96,-2.4,0.05,0.07,0.276,0.526,0.09
203461,Anthony Bennett,1610612761,TOR,22.,6-8,80,245,Nevada-Las Vegas,Canada,2013,1,1,15,23,21,0,-14.8,0.073,0.294,0.183,0.42,0.
