clf,lbin,f1,precision,recall,accuracy
LogisticRegression,q0,0.88,0.87,0.88,0.87
MultinomialNB,q0,0.86,0.87,0.84,0.85
feedfwd_1hidden,q0,0.874,0.836,0.915,0.862
feedfwd_2hidden,q0,0.866,0.833,0.902,0.854
feedfwd_3hidden,q0,0.863,0.856,0.869,0.855
lstm_1hidden,q0,0.831,0.877,0.789,0.832
lstm_2hidden,q0,0.841,0.814,0.869,0.828
LogisticRegression,q1,0.86,0.86,0.86,0.87
MultinomialNB,q1,0.83,0.86,0.8,0.84
feedfwd_1hidden,q1,0.841,0.754,0.949,0.824
feedfwd_2hidden,q1,0.857,0.837,0.877,0.856
feedfwd_3hidden,q1,0.857,0.843,0.871,0.857
lstm_1hidden,q1,0.814,0.849,0.781,0.825
lstm_2hidden,q1,0.801,0.764,0.842,0.795
LogisticRegression,q2,0.85,0.85,0.85,0.85
MultinomialNB,q2,0.78,0.83,0.74,0.8
feedfwd_1hidden,q2,0.844,0.866,0.823,0.851
feedfwd_2hidden,q2,0.844,0.86,0.829,0.851
feedfwd_3hidden,q2,0.847,0.856,0.839,0.852
lstm_1hidden,q2,0.784,0.795,0.774,0.792
lstm_2hidden,q2,0.783,0.768,0.798,0.784
LogisticRegression,q3,0.85,0.85,0.85,0.85
MultinomialNB,q3,0.78,0.82,0.74,0.79
feedfwd_1hidden,q3,0.859,0.863,0.854,0.86
feedfwd_2hidden,q3,0.866,0.819,0.917,0.858
feedfwd_3hidden,q3,0.866,0.86,0.871,0.866
lstm_1hidden,q3,0.79,0.752,0.833,0.78
lstm_2hidden,q3,0.781,0.756,0.808,0.775
